date,type,name,대분류자격,value
2021-12,강원특별자치도,양구군,E8,111
2021-12,강원특별자치도,인제군,E8,16
2021-12,강원특별자치도,철원군,E8,7
2021-12,강원특별자치도,홍천군,E8,37
2021-12,강원특별자치도,화천군,E8,19
2021-12,경상북도,영양군,E8,69
2021-12,전북특별자치도,고창군,E8,22
2021-12,전북특별자치도,순창군,E8,2
2021-12,충청남도,논산시,E8,1
2021-12,충청남도,당진시,E8,7
2021-12,충청남도,태안군,E8,3
2021-12,충청북도,옥천군,E8,4
2022-12,강원특별자치도,강릉시,E8,1
2022-12,강원특별자치도,삼척시,E8,14
2022-12,강원특별자치도,속초시,E8,47
2022-12,강원특별자치도,양구군,E8,155
2022-12,강원특별자치도,영월군,E8,3
2022-12,강원특별자치도,원주시,E8,4
2022-12,강원특별자치도,인제군,E8,225
2022-12,강원특별자치도,정선군,E8,8
2022-12,강원특별자치도,철원군,E8,17
2022-12,강원특별자치도,춘천시,E8,14
2022-12,강원특별자치도,평창군,E8,25
2022-12,강원특별자치도,홍천군,E8,37
2022-12,강원특별자치도,화천군,E8,3
2022-12,강원특별자치도,횡성군,E8,77
2022-12,경기도,고양시 일산서구,E8,1
2022-12,경기도,광명시,E8,2
2022-12,경기도,광주시,E8,1
2022-12,경기도,시흥시,E8,1
2022-12,경기도,연천군,E8,11
2022-12,경기도,용인시 처인구,E8,7
2022-12,경기도,이천시,E8,5
2022-12,경기도,평택시,E8,17
2022-12,경기도,화성시,E8,5
2022-12,경상남도,거제시,E8,14
2022-12,경상남도,거창군,E8,104
2022-12,경상남도,산청군,E8,13
2022-12,경상남도,진주시,E8,15
2022-12,경상남도,창녕군,E8,90
2022-12,경상남도,함양군,E8,38
2022-12,경상남도,합천군,E8,52
2022-12,경상북도,문경시,E8,11
2022-12,경상북도,상주시,E8,140
2022-12,경상북도,성주군,E8,20
2022-12,경상북도,영덕군,E8,83
2022-12,경상북도,영양군,E8,67
2022-12,경상북도,영주시,E8,31
2022-12,경상북도,영천시,E8,3
2022-12,경상북도,예천군,E8,5
2022-12,경상북도,의성군,E8,21
2022-12,경상북도,청송군,E8,47
2022-12,경상북도,포항시 남구,E8,61
2022-12,경상북도,포항시 북구,E8,9
2022-12,광주광역시,광산구,E8,2
2022-12,광주광역시,북구,E8,3
2022-12,세종특별자치시,세종시,E8,6
2022-12,전라남도,강진군,E8,1
2022-12,전라남도,고흥군,E8,260
2022-12,전라남도,곡성군,E8,7
2022-12,전라남도,광양시,E8,10
2022-12,전라남도,나주시,E8,21
2022-12,전라남도,담양군,E8,75
2022-12,전라남도,목포시,E8,1
2022-12,전라남도,무안군,E8,40
2022-12,전라남도,보성군,E8,15
2022-12,전라남도,영광군,E8,7
2022-12,전라남도,영암군,E8,26
2022-12,전라남도,완도군,E8,150
2022-12,전라남도,장성군,E8,4
2022-12,전라남도,장흥군,E8,5
2022-12,전라남도,진도군,E8,59
2022-12,전라남도,함평군,E8,54
2022-12,전라남도,해남군,E8,59
2022-12,전북특별자치도,고창군,E8,179
2022-12,전북특별자치도,군산시,E8,13
2022-12,전북특별자치도,김제시,E8,10
2022-12,전북특별자치도,남원시,E8,2
2022-12,전북특별자치도,무주군,E8,89
2022-12,전북특별자치도,부안군,E8,8
2022-12,전북특별자치도,순창군,E8,4
2022-12,전북특별자치도,완주군,E8,13
2022-12,전북특별자치도,익산시,E8,24
2022-12,전북특별자치도,임실군,E8,24
2022-12,전북특별자치도,장수군,E8,8
2022-12,전북특별자치도,전주시 덕진구,E8,6
2022-12,전북특별자치도,정읍시,E8,3
2022-12,전북특별자치도,진안군,E8,64
2022-12,제주특별자치도,서귀포시,E8,14
2022-12,제주특별자치도,제주시,E8,35
2022-12,충청남도,공주시,E8,52
2022-12,충청남도,금산군,E8,92
2022-12,충청남도,논산시,E8,77
2022-12,충청남도,당진시,E8,72
2022-12,충청남도,보령시,E8,6
2022-12,충청남도,부여군,E8,32
2022-12,충청남도,서천군,E8,2
2022-12,충청남도,아산시,E8,15
2022-12,충청남도,예산군,E8,17
2022-12,충청남도,청양군,E8,33
2022-12,충청남도,태안군,E8,113
2022-12,충청남도,홍성군,E8,16
2022-12,충청북도,괴산군,E8,8
2022-12,충청북도,단양군,E8,3
2022-12,충청북도,영동군,E8,2
2022-12,충청북도,음성군,E8,23
2022-12,충청북도,증평군,E8,5
2022-12,충청북도,진천군,E8,27
2023-12,강원특별자치도,강릉시,E8,11
2023-12,강원특별자치도,동해시,E8,9
2023-12,강원특별자치도,삼척시,E8,35
2023-12,강원특별자치도,속초시,E8,36
2023-12,강원특별자치도,양구군,E8,140
2023-12,강원특별자치도,영월군,E8,14
2023-12,강원특별자치도,원주시,E8,10
2023-12,강원특별자치도,인제군,E8,215
2023-12,강원특별자치도,정선군,E8,29
2023-12,강원특별자치도,철원군,E8,16
2023-12,강원특별자치도,춘천시,E8,41
2023-12,강원특별자치도,태백시,E8,2
2023-12,강원특별자치도,평창군,E8,18
2023-12,강원특별자치도,홍천군,E8,45
2023-12,강원특별자치도,화천군,E8,24
2023-12,강원특별자치도,횡성군,E8,115
2023-12,경기도,고양시 덕양구,E8,3
2023-12,경기도,고양시 일산서구,E8,5
2023-12,경기도,광명시,E8,5
2023-12,경기도,광주시,E8,3
2023-12,경기도,김포시,E8,4
2023-12,경기도,남양주시,E8,1
2023-12,경기도,수원시 권선구,E8,2
2023-12,경기도,안성시,E8,18
2023-12,경기도,양주시,E8,29
2023-12,경기도,양평군,E8,12
2023-12,경기도,여주시,E8,35
2023-12,경기도,연천군,E8,15
2023-12,경기도,오산시,E8,2
2023-12,경기도,용인시 처인구,E8,3
2023-12,경기도,의정부시,E8,1
2023-12,경기도,이천시,E8,18
2023-12,경기도,평택시,E8,44
2023-12,경기도,화성시,E8,5
2023-12,경상남도,거제시,E8,79
2023-12,경상남도,거창군,E8,98
